"ID","お名前","メールアドレス","問い合わせ日時","問い合わせ更新日時","個人情報削除日時","経由元","端末","電話番号","郵便番号","都道府県","住所","住所(番地以降)","郵便番号(開設先)","都道府県(開設先)","住所(開設先)","住所(開設先番地以降)","引っ越し予定日","物件種別","物件所有種別","築年数","部屋数","入居済み部屋数","管理会社名","見積もり種別","集合住宅","契約販売店名","契約年数","ガス検針月","使用量","直近の請求額","ガス機器","基本料金(現在)","従量単価(現在)","見積もり数","問い合わせステータス","小ステータス","キャンセル理由","見積もり進行状況","管理者メモ","自動見積もり","提示画面閲覧済み","マッチング画面URL","価格","エネチェンジ","希望連絡時間","緊急度","電気料金セット希望","ご相談内容・ご要望"
"883","GasMan","gasman@gmail.com","2018-01-22 11:41","2018-01-30 18:36","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","店舗","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","3","3","400","ガスコンロ、給湯器、ストーブその他","1701","-443.54320987654","2","紹介済みキャンセル","","営業エリア外","未連絡","","×","","http://localhost:8080/lpgas/contacts/883?pin=1502&token=d265e4427a8036b12a8cfffe7c644bb0","×","×","いつでも","通常","しない",""
"882","GasManwww","gasman@gmail.com","2018-01-22 11:05","2018-01-22 11:09","-","無し","パソコン","09011112222","1680063","東京都","杉並区和泉","-","-","-","-","-","-","店舗","所有(持ち家)","-","-","-","-","現在住居","×","dsddsd","","3","3","33","ガスコンロ","1701","-556.81481481481","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/882?pin=1484&token=399fd172e49d8050795a74969bc471e8","×","×","いつでも","通常","しない",""
"881","GasMan","gasman@gmail.com","2018-01-18 18:04","2018-01-22 10:48","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","2","3","40000","","1701","11778.679012346","2","送客","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/881?pin=0314&token=235e0da984cb269fca9e37a119bb35e7","×","×","いつでも","通常","しない",""
"880","GasMan","gasman@gmail.com","2018-01-18 16:34","2018-01-22 10:50","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","3","3","40000","","1701","11778.679012346","2","送客","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/880?pin=4717&token=ad28896d7067a672bfc1ccc3d987fae4","×","×","いつでも","通常","しない",""
"879","GasManwww","mail@com.com","2018-01-17 10:41","2018-01-18 14:37","-","無し","パソコン","09011112222","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","cccc","","3","3","100","ガスコンロ、給湯器、ストーブその他","1701","-536.13580246914","2","紹介済みキャンセル","","","未連絡","","×","","http://localhost:8080/lpgas/contacts/879?pin=9190&token=b542d48552999c9161cad8932a0d32c6","×","×","9:00~12:00","通常","しない",""
"878","GasMan","gasman@gmail.com","2018-01-04 11:45","2018-01-15 15:18","-","無し","パソコン","09011112222","1680063","東京都","杉並区和泉","wqeqwe","1680064","東京都","杉並区永福","-","-","戸建て","所有(持ち家)","12","-","-","-","新規開設","×","GasBombe","3","3","12","50000","","1701","3716.274691358","2","紹介済みキャンセル","","もう解決した（理由不明）","未連絡","","◯","","http://localhost:8080/lpgas/contacts/878?pin=0643&token=2567bc0ab50736f1edb3fa5cf3570137","×","×","いつでも","通常","しない",""
"877","GasMan","gasman@gmail.com","2018-01-04 11:16","2018-01-15 17:01","-","無し","パソコン","09011112222","1680063","東京都","杉並区和泉","wqeqwe","1680063","東京都","杉並区和泉","-","-","マンション・アパート","","12","120","-","-","現在住居","◯","GasBombe","3","3","12","50000","","1701","3716.274691358","0","紹介前キャンセル","情報確認","","","","×","","http://localhost:8080/lpgas/contacts/877?pin=4741&token=0de992977b987a7f13e569e1e1ac8dad","×","×","いつでも","通常","しない",""
"876","GasMan","gasman@gmail.com","2017-12-27 10:39","2018-01-18 16:16","-","xmarke","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","2","3","40000","","1701","11778.679012346","2","紹介済みキャンセル","","いたずら","未連絡","","◯","","http://localhost:8080/lpgas/contacts/876?pin=0160&token=2226b6879c6a3a99a6d6dd33609b67da","×","×","いつでも","通常","しない",""
"875","GasMan","gasman@gmail.com","2017-12-26 15:40","2018-01-23 16:15","-","xmarke","パソコン","08099999999","1680063","東京都","杉並区和泉","wqeqwe","1680063","東京都","杉並区和泉","-","-","戸建て","所有(持ち家)","-","-","-","-","新規開設","×","GasBombe","3","12","3","3333","","1701","461.7037037037","2","成約","","","工事完了","","◯","","http://localhost:8080/lpgas/contacts/875?pin=2461&token=1c63aa949102d2ac3b0a1361ab78da84","×","×","いつでも","通常","しない",""
"874","GasMan","gasman@gmail.com","2017-12-25 18:08","2018-02-01 17:15","-","エネチェンジ","パソコン","08099999999","1680063","東京都","杉並区和泉","wqeqwe","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","5","50","4","ガスコンロ、給湯器、ストーブその他","1701","-33.945925925926","1","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/874?pin=8887&token=202f5820bd56a8afb1232c2e4eb25c10","×","◯","いつでも","通常","しない",""
"873","GasMan","gasman@gmail.com","2017-12-22 11:10","2017-12-22 11:10","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/873?pin=0540&token=3bb0ae4666b59a4db4e7c1502e63950b","×","×","いつでも","通常","しない",""
"872","GasMan","gasman@gmail.com","2017-12-22 11:06","2017-12-22 11:06","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/872?pin=9138&token=2edd4639832792b3c5af9d5cc268f279","×","×","いつでも","通常","しない",""
"871","GasMan","gasman@gmail.com","2017-12-22 10:36","2017-12-22 10:36","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/871?pin=1336&token=0d3b68d3f5dd8966cc2c102128195a22","×","×","いつでも","通常","しない",""
"870","GasMan","gasman@gmail.com","2017-12-22 10:35","2017-12-22 10:35","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/870?pin=0451&token=7d108aa1e5602fcbf6c6fb694d4ab5c2","×","×","いつでも","通常","しない",""
"867","GasMan","gasman@gmail.com","2017-12-22 10:31","2017-12-22 10:31","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/867?pin=6568&token=3c547d0e126276801b4787955178f285","×","×","いつでも","通常","しない",""
"866","GasMan","gasman@gmail.com","2017-12-22 10:30","2017-12-22 10:30","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/866?pin=8781&token=3200c83660bf8bd6b3df3210a97043e6","×","×","いつでも","通常","しない",""
"865","GasMan","gasman@gmail.com","2017-12-22 10:27","2017-12-22 10:27","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/865?pin=5055&token=a3429a71078425ecdca5623e2ea0796f","×","×","いつでも","通常","しない",""
"864","GasMan","gasman@gmail.com","2017-12-22 10:22","2017-12-22 10:22","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/864?pin=2663&token=6f7ddaa4a98c24fc3ac69104ce5f5b9f","×","×","いつでも","通常","しない",""
"863","GasMan","gasman@gmail.com","2017-12-22 10:16","2017-12-22 10:16","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/863?pin=5631&token=d110d74d7ee32ef47452451754cd8a8a","×","×","いつでも","通常","しない",""
"862","GasMan","gasman@gmail.com","2017-12-22 10:15","2017-12-22 10:15","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/862?pin=9370&token=be141d1f09926881fa04d5454623e297","×","×","いつでも","通常","しない",""
"861","GasMan","gasman@gmail.com","2017-12-22 10:12","2017-12-22 10:12","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/861?pin=5952&token=4f4300c86f50cc8c3ad7e4fd35941735","×","×","いつでも","通常","しない",""
"860","GasMan","gasman@gmail.com","2017-12-21 18:59","2017-12-21 18:59","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/860?pin=4163&token=af091696d35975ce43f3014345f5d7ac","×","×","いつでも","通常","しない",""
"859","GasMan","gasman@gmail.com","2017-12-21 18:57","2017-12-21 18:57","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/859?pin=8942&token=e72e12d4e2b93c8f1eee99806626d6c0","×","×","いつでも","通常","しない",""
"858","GasMan","gasman@gmail.com","2017-12-21 18:53","2017-12-21 18:53","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/858?pin=1512&token=961ec71f885ab6103954da090fe1ef4b","×","×","いつでも","通常","しない",""
"857","GasMan","gasman@gmail.com","2017-12-21 18:50","2017-12-21 18:50","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/857?pin=9913&token=96997ece447600bd8ca272ba5a408b6a","×","×","いつでも","通常","しない",""
"856","GasMan","gasman@gmail.com","2017-12-21 18:48","2017-12-21 18:48","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/856?pin=7443&token=7319ccc72df28654d067da0288664a79","×","×","いつでも","通常","しない",""
"855","GasMan","gasman@gmail.com","2017-12-21 18:42","2017-12-21 18:42","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/855?pin=0860&token=35ced2d4239c0460497548cc5a6db01b","×","×","いつでも","通常","しない",""
"854","GasMan","gasman@gmail.com","2017-12-21 18:40","2017-12-21 18:40","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/854?pin=5779&token=9819bd235b735bac3ef6e01087662bff","×","×","いつでも","通常","しない",""
"853","GasMan","gasman@gmail.com","2017-12-21 18:35","2017-12-21 18:35","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/853?pin=7475&token=42877f1df057351264d911fd2b835d82","×","×","いつでも","通常","しない",""
"852","GasMan","gasman@gmail.com","2017-12-21 18:32","2017-12-21 18:32","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","連絡済み","","◯","","http://localhost:8080/lpgas/contacts/852?pin=8518&token=f8dc6608507cdebc7b10d9f2440bdf0f","×","×","いつでも","通常","しない",""
"850","GasMan","gasman@gmail.com","2017-12-21 18:28","2018-01-18 13:28","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済みキャンセル","","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/850?pin=2944&token=76249e8f1d3e02ca6524e654369e2c48","×","×","いつでも","通常","しない",""
"849","GasMan","gasman@gmail.com","2017-12-21 18:26","2017-12-21 18:26","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/849?pin=2833&token=8dcc29021e78ea10ee773f82e8f0adc5","×","×","いつでも","通常","しない",""
"848","GasMan","gasman@gmail.com","2017-12-21 16:58","2017-12-21 16:58","-","無し","パソコン","08000000000","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","dddd","","3","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/848?pin=4705&token=04173d2af8d4baf0f75a574444ffe7aa","×","×","いつでも","通常","しない",""
